,group,sender,msg_id,reply,text,date,reactions
1,https://t.me/PoliGruppo,768169879,205531,205529,**Here are the groups **:,2024-03-29 13:18:37+00:00,
1,https://t.me/PoliGruppo,825112400,205529,,"Ciao a tutti, dovrei fare l'esame di stato a giugno di ingegneria industriale, online non ho trovato corsi o consigli su come prepararsi. Qualcuno ha già svolto l'esame? o conosce qualcuno che l'ha fatto?",2024-03-29 13:00:05+00:00,
1,https://t.me/PoliGruppo,768169879,205525,205522,**Ecco i gruppi**:,2024-03-29 10:20:47+00:00,
1,https://t.me/PoliGruppo,821857100,205523,205522,Non è un gruppo per fare recruiting,2024-03-29 10:19:15+00:00,
1,https://t.me/PoliGruppo,450217695,205522,,"Ragazzi Ciao!
Ci sono ingegneri strutturisti iscritto all'albo qui nel gruppo? 
Se sì, o se ne conoscete uno, scrivetemi in privato che ho bisogno per un lavoro.",2024-03-29 10:15:54+00:00,
1,https://t.me/PoliGruppo,5041707579,205521,205509,Seguo,2024-03-29 09:52:16+00:00,
1,https://t.me/PoliGruppo,768169879,205520,205518,**Here are the groups **:,2024-03-29 09:42:46+00:00,
1,https://t.me/PoliGruppo,1177186153,205518,,"Scusate, esiste un canale telegram per il corso di Meccanica (per ingegneria Informatica) di quest'anno?",2024-03-29 09:40:56+00:00,
1,https://t.me/PoliGruppo,740367825,205517,,"Ciao ragazzi!
Funziona oggi il PoliDistrict, che si trova sotto l'edificio 5?",2024-03-29 08:52:59+00:00,
1,https://t.me/PoliGruppo,821857100,205516,205511,https://www.polimi.it/il-politecnico/orari-edifici-e-campus,2024-03-28 22:48:56+00:00,
1,https://t.me/PoliGruppo,768169879,205515,205510,**Ecco i gruppi**:,2024-03-28 21:56:32+00:00,
1,https://t.me/PoliGruppo,768169879,205513,205510,**Nessun risultato**.,2024-03-28 21:56:11+00:00,
1,https://t.me/PoliGruppo,598912584,205511,,domani il poli è aperto?,2024-03-28 21:41:35+00:00,
1,https://t.me/PoliGruppo,743943408,205510,,Qualcuno ha il pdf per le lezioni di spagnolo del poli?,2024-03-28 20:30:35+00:00,
1,https://t.me/PoliGruppo,257279838,205509,,Scusate c’è un gruppo per la prova di ammissione a urbanistica?,2024-03-28 19:58:06+00:00,
1,https://t.me/PoliGruppo,1409605385,205508,,"Va bene, grazie mille",2024-03-28 17:03:56+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=526021634), date=datetime.datetime(2024, 3, 28, 17, 15, 5, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,526021634,205507,205506,"il calendario non è ancora uscito, comunque se non cambia nulla rispetto agli anni scorso, inizieranno circa il 12 settembre",2024-03-28 17:03:40+00:00,
1,https://t.me/PoliGruppo,1409605385,205506,,"Buonasera ragazzi, non so se potete saperlo o meno, ma per caso potete dirmi quando inizieranno le lezioni a settembre?",2024-03-28 17:01:43+00:00,
1,https://t.me/PoliGruppo,254808431,205505,,"scusate, per chi oggi deve andare alla preparazione per la coding interview, sapete dov'è? L'evento StartBig",2024-03-28 16:53:07+00:00,
1,https://t.me/PoliGruppo,501738658,205502,,Grazie,2024-03-28 16:07:07+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=321629931), date=datetime.datetime(2024, 3, 28, 16, 24, 24, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,321629931,205501,205498,puoi consultare le graduatorie degli anni passati [qui](https://rankings.polinetwork.org/#/home) per farti un’idea,2024-03-28 16:04:19+00:00,
1,https://t.me/PoliGruppo,768169879,205500,205498,**Here are the groups **:,2024-03-28 16:03:28+00:00,
1,https://t.me/PoliGruppo,501738658,205498,,"Ciao, non so se questo sia lo spazio giusto per chiederlo, vado in quinta superiore e mi piacerebbe frequentare la facoltà di ingegneria energetica al Politecnico. Dite che un punteggio TOL di 62.23 è sufficiente per entrare?",2024-03-28 16:00:45+00:00,
1,https://t.me/PoliGruppo,914745539,205496,,Domani gli spazi al poli saranno aperti?,2024-03-28 12:59:32+00:00,
1,https://t.me/PoliGruppo,149745541,205495,205493,come osi mettere in dubbio il Bramanti,2024-03-28 12:17:33+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=8, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=2, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=523794108), date=datetime.datetime(2024, 3, 28, 17, 32, 32, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=1103987544), date=datetime.datetime(2024, 3, 28, 16, 23, 22, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=1062042479), date=datetime.datetime(2024, 3, 28, 15, 40, 51, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,934141160,205494,205493,si,2024-03-28 12:12:23+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=321629931), date=datetime.datetime(2024, 3, 28, 12, 19, 13, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,523047757,205493,,Eserciziario di bramanti per analisi 1 vi sembra buono?,2024-03-28 12:10:09+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=321629931), date=datetime.datetime(2024, 3, 28, 12, 19, 12, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,403714407,205492,,"Ciao a tutti!
Non so se questo è il posto giusto per chiedere, ma sto cercando appunti del corso “Metodi Analitici e Numerici Per l’ingegneria” del terzo anno propedeutico di ing. energetica.
Grazie mille",2024-03-28 12:08:23+00:00,
1,https://t.me/PoliGruppo,705891914,205491,,,2024-03-28 11:35:34+00:00,"MessageReactions(results=[], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[])"
1,https://t.me/PoliGruppo,705891914,205490,205487,Controlla il calendario,2024-03-28 11:35:24+00:00,
1,https://t.me/PoliGruppo,1715151229,205489,,"Ciao, qualcuno sa dove si può trovare la info su quale fotografo sarà in che edificio il giorno delle lauree? O solo si può trovarli quel giorno ?",2024-03-28 11:30:42+00:00,
1,https://t.me/PoliGruppo,120549643,205488,,Regalone,2024-03-28 11:27:32+00:00,
1,https://t.me/PoliGruppo,916886927,205487,205481,Domani non c’è lezione? Non lo sapevo,2024-03-28 11:21:34+00:00,
1,https://t.me/PoliGruppo,308416481,205483,,I,2024-03-28 03:50:25+00:00,
1,https://t.me/PoliGruppo,705891914,205481,205465,Le feste saranno da venerdì a martedì,2024-03-28 01:09:15+00:00,
1,https://t.me/PoliGruppo,149745541,205472,205462,Anche io,2024-03-27 22:32:16+00:00,
1,https://t.me/PoliGruppo,1315560208,205469,,"Ciao, qualcuno per caso ha appunti degli anni scorsi di Design and Corporate Economics (primo anno della Laurea Magistrale di Design & Engineering) del prof Gagliardi?",2024-03-27 21:41:08+00:00,"MessageReactions(results=[], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[])"
1,https://t.me/PoliGruppo,1182159515,205467,205465,Sì,2024-03-27 21:05:54+00:00,
1,https://t.me/PoliGruppo,1396634259,205465,,"ciao, domani ci sarà lezione regolarmente?",2024-03-27 21:01:40+00:00,
1,https://t.me/PoliGruppo,297219746,205464,205462,si pure io,2024-03-27 20:56:47+00:00,
1,https://t.me/PoliGruppo,1398414573,205463,205462,Anch'io sto aspettando,2024-03-27 19:22:52+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=2, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5510447149), date=datetime.datetime(2024, 3, 27, 19, 55, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=201511059), date=datetime.datetime(2024, 3, 27, 19, 32, 42, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,201511059,205462,,"Ciao a tutti, qualcuno che ha partecipato al progetto Simulazione di un'app di trading del prof Agasisti può dirmi se sta ancora aspettando il compenso?",2024-03-27 19:07:44+00:00,"MessageReactions(results=[], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[])"
1,https://t.me/PoliGruppo,386048772,205461,205460,"[@alpolo0](tg://user?id=1061127429) [`1061127429`] ha inviato un messaggio di spam. 
**Azione:** Ammonito (1/3) ❕",2024-03-27 17:30:51+00:00,
1,https://t.me/PoliGruppo,265556661,205459,205458,"Conosco qualcuno, ho chiesto a lui appena mi risponde ti dico",2024-03-27 15:10:06+00:00,
1,https://t.me/PoliGruppo,5473305463,205458,,"Ciao, c’è qualcuno che ha imparato da autodidatta Rhinoceros e potrebbe condividere video o corsi per impararlo?",2024-03-27 13:34:20+00:00,
1,https://t.me/PoliGruppo,918869352,205457,,Grazie mille!,2024-03-27 11:15:33+00:00,
1,https://t.me/PoliGruppo,200215181,205456,,Nel 2019*,2024-03-27 11:14:24+00:00,
1,https://t.me/PoliGruppo,200215181,205455,205453,"Anzi è scesa
Io nella seconda graduatoria con 70 ero fra gli ultimi posti disponibili",2024-03-27 11:14:05+00:00,
1,https://t.me/PoliGruppo,121313168,205454,,Ti direi di rifarlo e puntare almeno a 60 così puoi entrare nelle graduatorie di seconda fase,2024-03-27 11:13:21+00:00,"MessageReactions(results=[], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[])"
1,https://t.me/PoliGruppo,121313168,205453,205452,L'anno scorso hanno preso fino al 55.5,2024-03-27 11:12:34+00:00,
1,https://t.me/PoliGruppo,918869352,205452,,informatica,2024-03-27 11:11:12+00:00,
1,https://t.me/PoliGruppo,121313168,205451,205450,Dipende da che ingegneria,2024-03-27 11:10:35+00:00,
1,https://t.me/PoliGruppo,918869352,205450,,"Buongiorno! Mi chiamo Yuliya e frequento il 5 liceo, recentemente ho fatto un tol e ho preso 47. Vorrei chiedere se secondo voi avrò la possibilità di entrare con questo punteggio oppure no. Grazie mille e buona giornata!",2024-03-27 11:04:47+00:00,
1,https://t.me/PoliGruppo,5011564771,205449,205447,Per quello il Bel Paese è sempre puntale,2024-03-27 09:43:07+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='❤'), count=1, chosen_order=None), ReactionCount(reaction=ReactionEmoji(emoticon='🥰'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=6887233474), date=datetime.datetime(2024, 3, 27, 11, 21, 31, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='🥰'), big=False, unread=False, my=False), MessagePeerReaction(peer_id=PeerUser(user_id=321629931), date=datetime.datetime(2024, 3, 27, 10, 20, 18, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='❤'), big=False, unread=False, my=False)])"
1,https://t.me/PoliGruppo,721810439,205448,,vero,2024-03-27 09:42:20+00:00,
