,group,sender,msg_id,reply,text,date,reactions
1,https://t.me/+synza2388S80NWM0,480675472,308,306,"I think that we’ll use chatgpt in the future, Maybe you can create a Python script with some useful functions to use it easily for our future works",2024-03-29 15:19:08+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,307,305,not sure either. Maybe trying to read some paper to compare other's work. I donno,2024-03-29 15:15:23+00:00,
1,https://t.me/+synza2388S80NWM0,984447467,306,304,"Yes it's probably better this way. It might be useful since our messages are short, so even stopwords are importat",2024-03-29 15:13:09+00:00,
1,https://t.me/+synza2388S80NWM0,984447467,305,,"Also I'm not sure about what I should be working on, so if you have a specif task in mind let me know so I'll do it",2024-03-29 15:11:44+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,304,303,"yeah, probably
but maybe transformers are complex enough to ignore those words themselves. I mean they have been trained on huge amount of data ...
We can postpone it for later and implement it if the model performance was not high enough",2024-03-29 15:11:33+00:00,
1,https://t.me/+synza2388S80NWM0,984447467,303,,Maybe deleting the stopword from the message will help with the embdedding,2024-03-29 15:09:10+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,302,301,"yeah, that's true for all the embeddings. The model would be more accurate if we take into account a group of messages as a single messages does not include the whole topic/context and they are usually short messages",2024-03-29 15:03:57+00:00,
1,https://t.me/+synza2388S80NWM0,480675472,301,,"Concept drift detectors are used to detect if a change in the distribution of the data arises.

Since laser embedding maps the sentences with similar semantic in a close region, if the  topic changes also the distribution of the vectors related to the new topic should change with respect to the previous one",2024-03-29 14:53:26+00:00,
1,https://t.me/+synza2388S80NWM0,5328388801,300,298,"That's true...
At least for most cases 👍",2024-03-29 14:42:00+00:00,
1,https://t.me/+synza2388S80NWM0,480675472,299,,For change topic detection also the concept drift detectors could be used in some way,2024-03-29 14:41:41+00:00,
1,https://t.me/+synza2388S80NWM0,480675472,298,,"I was thinking that Maybe we could avoid to translate the messages beforehand, usually when a conversatiom is in English, if there is a new message in italian it is not related to the same topic",2024-03-29 14:40:33+00:00,
1,https://t.me/+synza2388S80NWM0,5328388801,297,,"The other methods I looked up for detecting the changes was Density based clustering (like DBSCAN) but for this one we have to indicate the minimum number of points for a neighborhood/cluster 

And i guess this one is better for detecting the change but the trade off it's the issue we talked about yesterday, in which the distance between the vectors of the messages to be considered a ""change"" varies based on the time span of the messages we're looking at

Overall with the clustering methods you have to indicate for the method to group the messages",2024-03-29 14:40:24+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,296,,Also this one is doing smt similar...,2024-03-29 14:37:18+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,295,293,"As you said, we have to assume that all messages can be labeled, however in real data the messages may not have the context(crucial words) to being labeled, so that would affect the performance drastically...
That's my guess",2024-03-29 14:34:49+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,294,293,agreed,2024-03-29 14:32:26+00:00,
1,https://t.me/+synza2388S80NWM0,5328388801,293,,By using k-means we have to come up with all the labels we want to know and assume that all the messages would fit into the labels we considered (the downside is that the accuracy will be lowered given some messages probably will not fit into the labels) but I guess it's one of the easier ways to go with,2024-03-29 14:31:48+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,292,,"On Detecting Changes in Statistical Data
Signals .....",2024-03-29 14:23:02+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,291,281,"oh, sorry, I forgot to respond to this one. xd
From user ids we can track down the actual users.
but if we use only the hashes of ids we wouldn't have any data relating messages and actual telegram users.",2024-03-29 14:13:44+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,290,286,"In general
If we want to do smt with the embeddings and detect changes in patterns using neural networks
we need RNN structure or Transformer to handle sequential inputs",2024-03-29 13:47:43+00:00,
1,https://t.me/+synza2388S80NWM0,5328388801,289,,If you found anything interesting send it here,2024-03-29 13:46:55+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=382281069), date=datetime.datetime(2024, 3, 29, 13, 47, 57, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)])"
1,https://t.me/+synza2388S80NWM0,5328388801,288,287,Ok 👍,2024-03-29 13:46:51+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,287,286,"I read a medium, which mentioned machine learning algorithms in general....",2024-03-29 13:45:40+00:00,
1,https://t.me/+synza2388S80NWM0,5328388801,286,,"I was looking up ways for detecting the change, i looked at clustering methods but i didn't looked up the RNNs, did you read any research or something else related to it, or you just think it might work?",2024-03-29 13:44:09+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,285,284,Is there anything else to add? Maybe we can split these into tasks and assigb the work...,2024-03-29 13:41:04+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,284,,"We have these components to be completed:

 - Change detector using probably RNN (Or with some classic algorithms Or with a prompt in ChatGPT)

 - Preprocessing phase

 - Client side to register users and interact with the user

 - Labeling Data manually or automatic",2024-03-29 13:40:38+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,283,282,"Yeah, i have the same situation",2024-03-29 13:32:44+00:00,
1,https://t.me/+synza2388S80NWM0,480675472,282,,"Anyway for What concern the meeting I have no relevant updates to share with you today because I had not time.

I would prefer to do something from now on on my own, but if you have some relevant information to share I’ll join the meeting too",2024-03-29 13:18:17+00:00,"MessageReactions(results=[ReactionCount(reaction=ReactionEmoji(emoticon='👍'), count=1, chosen_order=None)], min=False, can_see_list=True, reactions_as_tags=False, recent_reactions=[MessagePeerReaction(peer_id=PeerUser(user_id=5328388801), date=datetime.datetime(2024, 3, 29, 13, 21, 24, tzinfo=datetime.timezone.utc), reaction=ReactionEmoji(emoticon='👍'), big=False, unread=False, my=False)])"
1,https://t.me/+synza2388S80NWM0,480675472,281,,Why do you want to hash the ids?,2024-03-29 13:13:06+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,280,279,I found this one for hashing useres. As usual hash changes over different python processes.,2024-03-29 12:04:24+00:00,
1,https://t.me/+synza2388S80NWM0,382281069,279,,"import hashlib
hashlib.sha256(user_id).hexdigest(5)",2024-03-29 12:03:31+00:00,
